finding_id,title,severity,host,rule,oval_id,scan_class,os,triage_should_remediate,triage_risk_level,triage_reason,triage_requires_human_review,triage_estimated_impact,triage_estimated_complexity,final_status,remediated_at_round,total_attempts,attempt_1_commands,attempt_1_scan_passed,attempt_1_success,attempt_1_error_summary,attempt_1_duration_s,attempt_1_scan_duration_s,attempt_2_commands,attempt_2_scan_passed,attempt_2_success,attempt_2_error_summary,attempt_2_duration_s,attempt_2_scan_duration_s,attempt_3_commands,attempt_3_scan_passed,attempt_3_success,attempt_3_error_summary,attempt_3_duration_s,attempt_3_scan_duration_s,review_approve,review_is_optimal,review_security_score,review_feedback,review_concerns,qa_safe,qa_verdict_reason,qa_side_effects,qa_regression_detected,qa_recommendation,qa_validation_duration_s,total_duration_s,llm_calls,llm_errors,llm_duration_s,prompt_tokens,completion_tokens,total_tokens,estimated_cost_usd,triage_llm_calls,triage_tokens,triage_cost_usd,triage_duration_s,remedy_llm_calls,remedy_tokens,remedy_cost_usd,remedy_duration_s,review_llm_calls,review_tokens,review_cost_usd,review_duration_s,qa_llm_calls,qa_tokens,qa_cost_usd,qa_duration_s,triage_model,remedy_model,review_model,qa_model
package_aide_installed,Install AIDE,2,localhost,package_aide_installed,xccdf_org.ssgproject.content_rule_package_aide_installed,compliance,localhost.localdomain,True,low,"Installing the aide package is a standard package installation that does not affect authentication, authorization, networking, or filesystems in a dangerous way. It is a low-risk security tool installation.",False,,low,success,1,1,"if rpm --quiet -q kernel-core; then if ! rpm -q --quiet ""aide""; then dnf install -y ""aide""; fi else >&2 echo 'Remediation is not applicable, nothing was done'; fi; rpm -q aide; aide --version; ls -la /etc/aide.conf",True,True,,114.39781284332275,4.598,,,,,,,,,,,,,True,True,8,The proposed remediation plan correctly follows the provided recommendation and would successfully install the aide package if it's not already present on compatible platforms. The conditional logic properly checks for kernel-core presence and existing aide installation before proceeding.,,True,The remediation plan correctly installs the aide package only if it's not already present and only on compatible platforms. This is a standard package installation that won't affect SSH access or critical services.,,False,Approve,12.733701229095459,133.53824949264526,13,0,118.783,21866,958,22824,0.0,1,727,0.0,19.082,10,20550,0.0,70.303,1,734,0.0,16.665,1,813,0.0,12.732,arcee-ai/trinity-large-preview:free,arcee-ai/trinity-large-preview:free,arcee-ai/trinity-large-preview:free,arcee-ai/trinity-large-preview:free
aide_build_database,Build and Test AIDE Database,2,localhost,aide_build_database,xccdf_org.ssgproject.content_rule_aide_build_database,compliance,localhost.localdomain,True,low,"This finding involves installing and initializing AIDE (Advanced Intrusion Detection Environment), which is a standard security tool for file integrity monitoring. The remediation script follows a safe pattern: it checks for kernel-core presence, installs the aide package if missing, initializes the database, and copies it to the correct location. This is a standard security hardening task that does not affect authentication, authorization, networking, or filesystems in a dangerous way. It's a low-risk security enhancement.",False,medium severity; file integrity monitoring,low,success,2,2,,False,False,,144.06692171096802,,rpm -q kernel-core; rpm -q --quiet aide; /usr/sbin/aide --init; /bin/cp -p /var/lib/aide/aide.db.new.gz /var/lib/aide/aide.db.gz; /usr/sbin/aide --check; ls -la /var/lib/aide/; aide --version; systemctl status aide; crontab -l; cat /var/lib/aide/aide.db.gz | head -c 100; file /var/lib/aide/aide.db.gz; aide --init --verbose=3; aide --check --verbose=3,True,True,,269.0968017578125,5.82,,,,,,,True,False,8,"The proposed plan addresses the core vulnerability by following the approved remediation script and adding verification and error handling as requested in previous reviews. The plan correctly installs AIDE, initializes the database, copies it to the active location, and includes verification steps.",The plan mentions checking exit codes after each critical command but doesn't specify how this will be implemented; The error handling is described conceptually but not detailed in the actual execution steps,True,"The remediation plan correctly follows the approved script for building and testing the AIDE database. It installs AIDE if missing, initializes the database, copies it to the active location, and includes verification steps. The changes are security hardening measures that do not affect critical services or authentication.",AIDE package installation if not present; Creation of AIDE database files in /var/lib/aide/; Potential disk space usage for the database,False,Approve,15.555195808410645,269.1002013683319,20,0,211.36,80600,1786,82386,0.0,0,0,0.0,0.0,18,80029,0.0,175.849,1,1242,0.0,19.96,1,1115,0.0,15.553,arcee-ai/trinity-large-preview:free,arcee-ai/trinity-large-preview:free,arcee-ai/trinity-large-preview:free,arcee-ai/trinity-large-preview:free
aide_check_audit_tools,Configure AIDE to Verify the Audit Tools,2,localhost,aide_check_audit_tools,xccdf_org.ssgproject.content_rule_aide_check_audit_tools,compliance,localhost.localdomain,True,low,"This finding involves configuring AIDE to monitor audit tools, which is a standard integrity monitoring practice. The remediation script only modifies the AIDE configuration file to add audit tools to the monitored files list. This does not affect authentication, networking, filesystems, or require a reboot. The changes are limited to adding specific audit binaries to AIDE's watch list with standard attributes.",False,medium severity; integrity monitoring,low,failed,,3,"rpm -q aide; rpm -q aide; echo ""/usr/sbin/auditctl p+i+n+u+g+s+b+acl+xattrs+sha512"" >> /etc/aide.conf; echo ""/usr/sbin/auditd p+i+n+u+g+s+b+acl+xattrs+sha512"" >> /etc/aide.conf",False,False,,286.69460940361023,5.587,,False,False,,221.62818384170532,,"which aide; grep -E '^(/usr/sbin/ausearch|/usr/sbin/autrace|/usr/sbin/audispd)' /etc/aide.conf || echo ""/usr/sbin/ausearch p+i+n+u+g+s+b+acl+xattrs+sha512"" >> /etc/aide.conf; grep -E '^(/usr/sbin/ausearch|/usr/sbin/autrace|/usr/sbin/audispd)' /etc/aide.conf || echo ""/usr/sbin/autrace p+i+n+u+g+s+b+acl+xattrs+sha512"" >> /etc/aide.conf; grep -E '^(/usr/sbin/ausearch|/usr/sbin/autrace|/usr/sbin/audispd)' /etc/aide.conf || echo ""/usr/sbin/audispd p+i+n+u+g+s+b+acl+xattrs+sha512"" >> /etc/aide.conf; grep -E '^/etc/audit' /etc/aide.conf || echo ""/etc/audit CONTENT_EX"" >> /etc/aide.conf; aide --init; grep -E '^(/usr/sbin/auditctl|/usr/sbin/auditd|/usr/sbin/ausearch|/usr/sbin/autrace|/usr/sbin/audispd)' /etc/aide.conf; echo ""/usr/sbin/autrace p+i+n+u+g+s+b+acl+xattrs+sha512"" >> /etc/aide.conf; echo ""/usr/sbin/audispd p+i+n+u+g+s+b+acl+xattrs+sha512"" >> /etc/aide.conf; grep -E '^(/usr/sbin/auditctl|/usr/sbin/auditd|/usr/sbin/ausearch|/usr/sbin/autrace|/usr/sbin/audispd)' /etc/aide.conf; grep -E '^/etc/audit' /etc/aide.conf; ls -la /var/lib/aide/; mv /var/lib/aide/aide.db.new.gz /var/lib/aide/aide.db.gz",False,False,,270.03347277641296,4.885,True,False,7,"The proposed remediation plan addresses the core vulnerability by configuring AIDE to monitor audit tools. It includes comprehensive coverage of audit tools (auditctl, auditd, ausearch, autrace, audispd) and audit configuration files. The plan also includes steps to initialize the AIDE database and verify configuration changes.","The plan mentions using 'which aide' to check if AIDE is installed, but doesn't include installation steps if AIDE is not present; No error handling is mentioned for the configuration file modifications; The verification steps are somewhat vague - doesn't specify exact commands to confirm changes; Missing 'aide --check' step to verify database integrity after initialization",True,The remediation plan correctly addresses the vulnerability by configuring AIDE to monitor audit tools and configuration files. The approach is sound and unlikely to break critical services since it only modifies AIDE's configuration file and database.,AIDE database initialization may take time and consume disk space; System performance impact during AIDE database rebuild,False,Approve,16.271885633468628,270.0375828742981,17,0,257.607,84833,1653,86486,0.0,0,0,0.0,0.0,15,83666,0.0,204.062,1,1617,0.0,37.276,1,1203,0.0,16.27,arcee-ai/trinity-large-preview:free,arcee-ai/trinity-large-preview:free,arcee-ai/trinity-large-preview:free,arcee-ai/trinity-large-preview:free
aide_scan_notification,Configure Notification of Post-AIDE Scan Details,2,localhost,aide_scan_notification,xccdf_org.ssgproject.content_rule_aide_scan_notification,compliance,localhost.localdomain,True,low,"This finding involves configuring AIDE (Advanced Intrusion Detection Environment) to send scan notifications via email. The remediation script installs the aide package if missing and adds a cron job to run aide --check and email results. This is a standard security monitoring configuration that follows STIG hardening patterns. The changes are limited to package installation and cron job modification, which are low-risk operations that do not affect authentication, authorization, networking, or filesystems in a dangerous way.",False,medium severity; security monitoring enhancement,low,failed,,3,"rpm -q aide; grep -r '/usr/sbin/aide\s*--check' /etc/crontab /etc/cron.d/ /var/spool/cron/root 2>/dev/null || echo ""No AIDE cron job found""; echo '05 4 * * * root /usr/sbin/aide --check | /bin/mail -s ""$(hostname) - AIDE Integrity Check"" root@localhost' >> /etc/crontab; grep -r '/usr/sbin/aide\s*--check' /etc/crontab /etc/cron.d/ /var/spool/cron/root /etc/cron.daily/ /etc/cron.weekly/ /etc/cron.monthly/ 2>/dev/null || echo ""No AIDE cron job found in any location""; sed -i '/d /usr/sbin/aide --check/d' /etc/crontab; sed -i 's/.*aide --check.*//g' /etc/crontab; sed -i '/^$/d' /etc/crontab; echo '0 5 * * * root /usr/sbin/aide --check | /bin/mail -s \""$(hostname) - AIDE Integrity Check\"" root@localhost' >> /etc/crontab",False,False,,402.1418318748474,6.251,"rpm -q aide; which /bin/mail; dnf install -y mailx; dnf search mail | head -10; dnf repolist | grep -i epel; dnf install -y epel-release; dnf install -y mailx; dnf search mail | grep -i mailx; dnf install -y mail; dnf install -y sendmail; which mail; echo ""Test email"" | sendmail root@localhost",False,False,,219.6887104511261,4.944,"rpm -q aide; grep -r '^.*/usr/sbin/aide\s*\-\-check.*|.*\/bin\/mail\s*\-s\s*"".*""\s*.*@.*$' /etc/crontab /var/spool/cron/root /etc/cron.d/; which mail; dnf install -y mailx; dnf search mail | head -10; dnf search mailx; rpm -qa | grep -i mail; which sendmail; aide --init; cp /var/lib/aide/aide.db.new.gz /var/lib/aide/aide.db.gz; ls -la /etc/cron.d/aide-scan /var/lib/aide/aide.db.gz",False,False,,564.2946228981018,5.158,True,False,7,"The proposed plan addresses the core vulnerability by ensuring AIDE is configured to send scan notifications. It improves upon previous concerns by using sendmail instead of the unavailable mail command, creating a dedicated cron.d file, and initializing the AIDE database. However, the email recipient is still hardcoded as root@localhost rather than being configurable, and the plan doesn't include explicit error handling for the cron job creation steps.",Email recipient is hardcoded as root@localhost instead of being configurable; No explicit error handling mentioned for cron job creation steps; The grep pattern for detecting existing aide cron jobs may not be comprehensive; The plan assumes sendmail is functional without verification,True,"The remediation plan addresses the vulnerability by configuring AIDE to send scan notifications using sendmail instead of the unavailable mail command. It creates a dedicated cron.d file rather than modifying system crontab, which is a safer approach. The plan includes AIDE database initialization and validation steps. While there are some minor concerns about hardcoded email recipient and lack of explicit error handling, these do not pose significant safety risks.",AIDE cron job will run daily at 4:05 AM; Email notifications will be sent to root@localhost via sendmail,False,Approve,28.744489192962646,564.3067979812622,22,1,548.519,81344,2905,84249,0.0,0,0,0.0,0.0,18,77850,0.0,400.021,2,3612,0.0,97.883,2,2787,0.0,50.614,arcee-ai/trinity-large-preview:free,arcee-ai/trinity-large-preview:free,arcee-ai/trinity-large-preview:free,arcee-ai/trinity-large-preview:free
aide_use_fips_hashes,Configure AIDE to Use FIPS 140-2 for Validating Hashes,2,localhost,aide_use_fips_hashes,xccdf_org.ssgproject.content_rule_aide_use_fips_hashes,compliance,localhost.localdomain,True,low,"This finding involves configuring AIDE to use FIPS 140-2 compliant hashes (sha512) for file integrity checking. The remediation script provided is straightforward and follows standard STIG hardening patterns. It only modifies the AIDE configuration file to ensure proper hash algorithms are used, which does not affect authentication, networking, or filesystems in a way that would cause system breakage or lockout.",False,medium,low,failed,,3,"rpm -q aide; grep ""^[A-Z][A-Za-z_]*"" /etc/aide.conf | cut -f1 -d ' ' | tr -d ' ' | sort -u; cp /etc/aide.conf /etc/aide.conf.bak; sed -i 's/^ALLXTRAHASHES.*/ALLXTRAHASHES = sha512+sha512/' /etc/aide.conf; sed -i 's/^ALLXTRAHASHES.*/ALLXTRAHASHES = sha1+rmd160+sha256+sha512+tiger+sha512/' /etc/aide.conf; sed -i 's/^CONTENT.*/CONTENT = sha512+ftype/' /etc/aide.conf; sed -i 's/^CONTENT_EX.*/CONTENT_EX = sha512+ftype+p+u+g+n+acl+selinux+xattrs/' /etc/aide.conf; sed -i 's/^DATAONLY.*/DATAONLY = p+n+u+g+s+acl+selinux+xattrs+sha512/' /etc/aide.conf; sed -i 's/^EVERYTHING.*/EVERYTHING = R+sha512+sha512/' /etc/aide.conf; sed -i '/^CONTENT$/d' /etc/aide.conf; grep -E ""^(ALLXTRAHASHES|CONTENT|CONTENT_EX|DATAONLY|EVERYTHING)"" /etc/aide.conf",False,False,,272.4131052494049,5.044,"rpm -q aide; aide --version; aide -h | grep -A 10 -B 5 ""hash""; man aide | grep -A 20 -B 5 ""hash""; grep -i ""hash"" /etc/aide.conf | head -20; cp /etc/aide.conf /etc/aide.conf.backup; sed -i 's/ALLXTRAHASHES = sha1+rmd160+sha256+sha512+tiger+sha512/ALLXTRAHASHES = sha256+sha512/' /etc/aide.conf; sed -i 's/NORMAL = p+i+n+u+g+s+m+c+acl+selinux+xattrs+sha512/NORMAL = p+i+n+u+g+s+m+c+acl+selinux+xattrs+sha256+sha512/' /etc/aide.conf; sed -i 's/DATAONLY = p+n+u+g+s+acl+selinux+xattrs+sha512/DATAONLY = p+n+u+g+s+acl+selinux+xattrs+sha256+sha512/' /etc/aide.conf; sed -i 's/EVERYTHING = R+sha512+sha512/EVERYTHING = R+sha256+sha512/' /etc/aide.conf; grep -E ""^(ALLXTRAHASHES|NORMAL|DATAONLY|EVERYTHING)"" /etc/aide.conf; grep -E ""(sha1|rmd160|tiger|whirlpool|haval|gost|crc32)"" /etc/aide.conf; grep -E ""(sha256|sha512)"" /etc/aide.conf | grep -E ""^(ALLXTRAHASHES|NORMAL|DATAONLY|EVERYTHING)"" | sort",False,False,,296.6117148399353,5.786,"if ! rpm -q --quiet ""aide"" ; then dnf install -y ""aide""; fi; cp /etc/aide.conf /etc/aide.conf.bak; aide --version | head -1; grep -E ""^(ALLXTRAHASHES|NORMAL|DATAONLY|EVERYTHING)"" /etc/aide.conf; grep -E ""(sha1|rmd160|tiger|whirlpool|haval|gost|crc32)"" /etc/aide.conf; grep -E ""(sha256|sha512)"" /etc/aide.conf | grep -E ""^(ALLXTRAHASHES|NORMAL|DATAONLY|EVERYTHING)"" | sort; aide_conf=""/etc/aide.conf""; forbidden_hashes=""(sha1|rmd160|sha256|whirlpool|tiger|haval|gost|crc32)""; groups=$(grep ""^[A-Z][A-Za-z_]*"" $aide_conf | cut -f1 -d ' ' | tr -d ' ' | sort -u); for group in $groups; do config=$(grep ""^$group\\s*="" $aide_conf | cut -f2 -d '=' | tr -d ' '); if ! [[ $config = *sha512* ]]; then config=$config""+sha512""; fi; for hash in $forbidden_hashes; do config=$(echo $config | sed ""s/$hash//g""); done; sed -i ""s/^$group\\s*=.*/$group = $config/"" $aide_conf; done; grep -E ""^(ALLXTRAHASHES|NORMAL|DATAONLY|EVERYTHING)"" /etc/aide.conf; grep -E ""(sha1|rmd160|tiger|whirlpool|haval|gost|crc32)"" /etc/aide.conf; grep -E ""(sha256|sha512)"" /etc/aide.conf | grep -E ""^[A-Z][A-Za-z_]*"" | sort; aide_conf=""/etc/aide.conf""; forbidden_hashes=""(sha1|rmd160|sha256|whirlpool|tiger|haval|gost|crc32)""; groups=$(grep ""^[A-Z][A-Za-z_]*"" $aide_conf | cut -f1 -d ' ' | tr -d ' ' | sort -u); for group in $groups; do config=$(grep ""^$group\\s*="" $aide_conf | cut -f2 -d '=' | tr -d ' '); if ! [[ $config = *sha512* ]]; then config=$config""+sha512""; fi; for hash in $forbidden_hashes; do config=$(echo $config | sed ""s/$hash//g""); done; sed -i ""s/^$group\\s*=.*/$group = $config/"" $aide_conf; done",False,False,,505.229288816452,4.86,True,False,7,"The proposed remediation plan would functionally resolve the vulnerability by ensuring AIDE uses FIPS 140-2 compliant hashes (sha512) and removes non-compliant hashes. The plan includes backup creation and validation steps which address previous concerns about data safety. However, the plan appears to be more prescriptive than the original script, hardcoding specific rule groups rather than dynamically finding all groups. This could miss configurations that don't use the standard rule names. The plan also doesn't include verification that sha512 is supported by the installed AIDE version before attempting to add it.","Plan hardcodes specific rule groups (ALLXTRAHASHES, NORMAL, DATAONLY, EVERYTHING) instead of dynamically finding all groups like the original script; No verification that sha512 is supported by the installed AIDE version before adding it; Plan doesn't include error handling for potential failures during remediation; The approach may not handle all possible AIDE configuration scenarios",True,"The remediation plan correctly addresses the vulnerability by ensuring AIDE uses FIPS 140-2 compliant hashes (sha512) and removes non-compliant hashes. The plan includes backup creation and validation steps which address data safety concerns. While the plan hardcodes specific rule groups rather than dynamically finding all groups like the original script, this approach is still likely to catch the most common configurations and the risk of missing some configurations is low. The changes are to a security monitoring tool configuration, not critical system services, so the risk of service disruption is minimal.",AIDE configuration will be modified to use only sha512 hashes; Non-compliant hash algorithms will be removed from AIDE rulesets; A backup of /etc/aide.conf will be created,False,Approve,26.793710947036743,505.23425817489624,24,0,500.984,120343,3512,123855,0.0,0,0,0.0,0.0,18,114687,0.0,311.846,3,5219,0.0,128.359,3,3949,0.0,60.78,arcee-ai/trinity-large-preview:free,arcee-ai/trinity-large-preview:free,arcee-ai/trinity-large-preview:free,arcee-ai/trinity-large-preview:free
enable_dracut_fips_module,Enable Dracut FIPS Module,3,localhost,enable_dracut_fips_module,xccdf_org.ssgproject.content_rule_enable_dracut_fips_module,compliance,localhost.localdomain,False,critical,Enabling FIPS mode on a pre-existing system is explicitly unsupported and can cause system instability or boot failures. The finding states this is a permanent finding if the system is already installed.,False,reboot required; filesystems affected; system boot failure; unsupported configuration; permanent finding,high,discarded,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.56569695472717,2,1,77.061,592,185,777,0.0,2,777,0.0,77.061,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,arcee-ai/trinity-large-preview:free,arcee-ai/trinity-large-preview:free,arcee-ai/trinity-large-preview:free,arcee-ai/trinity-large-preview:free
enable_fips_mode,Enable FIPS Mode,3,localhost,enable_fips_mode,xccdf_org.ssgproject.content_rule_enable_fips_mode,compliance,localhost.localdomain,False,critical,Enabling FIPS mode requires kernel parameter changes and cryptographic policy updates that can break system functionality if not done at installation time. The finding explicitly states that enabling FIPS mode on a preexisting system is not supported and would be a permanent finding.,False,reboot required; system_breakage; unsupported_operation; permanent_finding,high,discarded,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.91349959373474,1,0,29.907,726,195,921,0.0,1,921,0.0,29.907,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,arcee-ai/trinity-large-preview:free,arcee-ai/trinity-large-preview:free,arcee-ai/trinity-large-preview:free,arcee-ai/trinity-large-preview:free
fips_crypto_subpolicy,FIPS Must Use a Supported Subpolicy,2,localhost,fips_crypto_subpolicy,xccdf_org.ssgproject.content_rule_fips_crypto_subpolicy,compliance,localhost.localdomain,False,medium,"The finding involves FIPS sub-policy configuration, which can impact cryptographic operations system-wide. While the rule specifies allowed sub-policies, the current sub-policy may be in use for specific operational requirements. Changing it without understanding the operational context could break applications relying on specific cryptographic behavior.",True,cryptographic_operations; operational_impact,medium,requires_human_review,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.65513563156128,1,0,18.65,559,200,759,0.0,1,759,0.0,18.65,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,arcee-ai/trinity-large-preview:free,arcee-ai/trinity-large-preview:free,arcee-ai/trinity-large-preview:free,arcee-ai/trinity-large-preview:free
fips_custom_stig_sub_policy,Implement STIG Sub Crypto Policy,2,localhost,fips_custom_stig_sub_policy,xccdf_org.ssgproject.content_rule_fips_custom_stig_sub_policy,compliance,localhost.localdomain,True,low,"This finding involves applying a custom cryptographic policy module that aligns with DISA STIG guidance. The remediation script creates a policy file and updates crypto policies, which is a standard hardening practice. It does not involve dangerous operations like partitioning, bootloader changes, or FIPS mode toggling. The changes are limited to cryptographic settings and policy updates, which are safe and follow established STIG patterns.",False,cryptographic-hardening,low,success,1,1,update-crypto-policies --set FIPS:STIG,True,True,,123.12989211082458,4.75,,,,,,,,,,,,,True,True,9,"The proposed plan correctly describes creating a custom STIG policy module file with the specified SSH cipher and MAC settings, then updating crypto policies to apply the new STIG module. This approach follows standard hardening practices and is safe to implement.",,True,"The remediation plan correctly creates a custom STIG policy module with appropriate SSH cipher and MAC settings, then applies it using update-crypto-policies. This follows standard hardening practices and addresses the vulnerability without introducing significant risks.",SSH connections using non-compliant ciphers may be terminated; Existing SSH sessions may need to be re-established with updated clients,False,Approve,12.896388292312622,145.24794363975525,11,0,144.26,16932,1290,18222,0.0,1,794,0.0,22.102,8,15808,0.0,89.919,1,770,0.0,19.346,1,850,0.0,12.895,arcee-ai/trinity-large-preview:free,arcee-ai/trinity-large-preview:free,arcee-ai/trinity-large-preview:free,arcee-ai/trinity-large-preview:free
sysctl_crypto_fips_enabled,Set kernel parameter 'crypto.fips_enabled' to 1,3,localhost,sysctl_crypto_fips_enabled,xccdf_org.ssgproject.content_rule_sysctl_crypto_fips_enabled,compliance,localhost.localdomain,False,critical,"This finding relates to FIPS mode configuration, which is a permanent system state that cannot be changed after installation. The description explicitly states that enabling FIPS mode on a preexisting system is not supported, and if this rule fails on an installed system, it is a permanent finding that cannot be fixed. This falls under the category of too_dangerous_to_remediate as it involves kernel parameters and system boot configuration that could cause system instability or boot failures if improperly modified.",False,reboot required; permanent system state; kernel boot parameters; FIPS compliance; system boot failure risk,high,discarded,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.01095986366272,1,0,25.005,637,270,907,0.0,1,907,0.0,25.005,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,arcee-ai/trinity-large-preview:free,arcee-ai/trinity-large-preview:free,arcee-ai/trinity-large-preview:free,arcee-ai/trinity-large-preview:free
