section,metric,value,category
overview,total_findings,150,
overview,total_remediated,37,
overview,total_failed,22,
overview,total_discarded,4,
overview,total_requires_human_review,87,
overview,success_rate_pct,24.7,
per_round,fixed_count,33,round_1
per_round,fixed_count,4,round_2
per_round,fixed_count,0,round_3
per_severity,total,139,severity_2
per_severity,remediated,33,severity_2
per_severity,failed,22,severity_2
per_severity,total,11,severity_3
per_severity,remediated,4,severity_3
per_severity,failed,0,severity_3
timing,total_elapsed_s,15154.63,
timing,avg_duration_per_finding_s,112.25,
timing,min_duration_s,0.01,
timing,max_duration_s,739.86,
timing,avg_triage_duration_s,9.39,
timing,avg_remedy_duration_s,195.52,
timing,avg_review_duration_s,46.71,
timing,avg_qa_duration_s,23.24,
cost,total_cost_usd,0.0,
cost,total_tokens,3320009,
cost,avg_cost_per_finding_usd,0.0,
cost,avg_tokens_per_finding,22133,
models,model_name,arcee-ai/trinity-large-preview:free,triage
models,model_name,arcee-ai/trinity-large-preview:free,remedy
models,model_name,arcee-ai/trinity-large-preview:free,review
models,model_name,arcee-ai/trinity-large-preview:free,qa
stage_stats,triage_total,150,
stage_stats,triage_remediate,59,
stage_stats,triage_discard,91,
stage_stats,triage_human_review,87,
stage_stats,remedy_total,59,
stage_stats,remedy_passed_scan,37,
stage_stats,remedy_failed_scan,22,
stage_stats,remedy_avg_attempts,1.81,
stage_stats,review_total,51,
stage_stats,review_approved,50,
stage_stats,review_rejected,1,
stage_stats,review_avg_security_score,7.54,
stage_stats,qa_total,50,
stage_stats,qa_safe,50,
stage_stats,qa_unsafe,0,
stage_stats,qa_regressions,0,
