section,metric,value,category
overview,total_findings,17,
overview,total_remediated,4,
overview,total_failed,4,
overview,total_discarded,6,
overview,total_requires_human_review,3,
overview,success_rate_pct,23.5,
per_round,fixed_count,3,round_1
per_round,fixed_count,1,round_2
per_round,fixed_count,0,round_3
per_severity,total,10,severity_2
per_severity,remediated,4,severity_2
per_severity,failed,2,severity_2
per_severity,total,7,severity_3
per_severity,remediated,0,severity_3
per_severity,failed,2,severity_3
timing,total_elapsed_s,1672.8,
timing,avg_duration_per_finding_s,74.77,
timing,min_duration_s,0.02,
timing,max_duration_s,202.24,
timing,avg_triage_duration_s,25.46,
timing,avg_remedy_duration_s,84.41,
timing,avg_review_duration_s,26.18,
timing,avg_qa_duration_s,10.53,
cost,total_cost_usd,0.266,
cost,total_tokens,1086024,
cost,avg_cost_per_finding_usd,0.0156,
cost,avg_tokens_per_finding,63884,
models,model_name,arcee-ai/trinity-large-thinking,triage
models,model_name,arcee-ai/trinity-large-thinking,remedy
models,model_name,arcee-ai/trinity-large-thinking,review
models,model_name,arcee-ai/trinity-large-thinking,qa
stage_stats,triage_total,17,
stage_stats,triage_remediate,8,
stage_stats,triage_discard,9,
stage_stats,triage_human_review,3,
stage_stats,remedy_total,8,
stage_stats,remedy_passed_scan,4,
stage_stats,remedy_failed_scan,4,
stage_stats,remedy_avg_attempts,2.12,
stage_stats,review_total,6,
stage_stats,review_approved,6,
stage_stats,review_rejected,0,
stage_stats,review_avg_security_score,7.0,
stage_stats,qa_total,6,
stage_stats,qa_safe,6,
stage_stats,qa_unsafe,0,
stage_stats,qa_regressions,0,
