section,metric,value,category
overview,total_findings,13,
overview,total_remediated,1,
overview,total_failed,0,
overview,total_discarded,5,
overview,total_requires_human_review,7,
overview,success_rate_pct,7.7,
per_round,fixed_count,1,round_1
per_round,fixed_count,0,round_2
per_round,fixed_count,0,round_3
per_severity,total,7,severity_2
per_severity,remediated,1,severity_2
per_severity,failed,0,severity_2
per_severity,total,6,severity_3
per_severity,remediated,0,severity_3
per_severity,failed,0,severity_3
timing,total_elapsed_s,287.75,
timing,avg_duration_per_finding_s,18.63,
timing,min_duration_s,0.0,
timing,max_duration_s,183.93,
timing,avg_triage_duration_s,5.4,
timing,avg_remedy_duration_s,160.31,
timing,avg_review_duration_s,4.04,
timing,avg_qa_duration_s,2.4,
cost,total_cost_usd,0.0085,
cost,total_tokens,54035,
cost,avg_cost_per_finding_usd,0.0007,
cost,avg_tokens_per_finding,4157,
models,model_name,google/gemma-4-26b-a4b-it,triage
models,model_name,google/gemma-4-26b-a4b-it,remedy
models,model_name,google/gemma-4-26b-a4b-it,review
models,model_name,google/gemma-4-26b-a4b-it,qa
stage_stats,triage_total,13,
stage_stats,triage_remediate,1,
stage_stats,triage_discard,12,
stage_stats,triage_human_review,7,
stage_stats,remedy_total,1,
stage_stats,remedy_passed_scan,1,
stage_stats,remedy_failed_scan,0,
stage_stats,remedy_avg_attempts,1.0,
stage_stats,review_total,1,
stage_stats,review_approved,1,
stage_stats,review_rejected,0,
stage_stats,review_avg_security_score,9.0,
stage_stats,qa_total,1,
stage_stats,qa_safe,1,
stage_stats,qa_unsafe,0,
stage_stats,qa_regressions,0,
