finding_id,title,severity,host,rule,oval_id,scan_class,os,triage_should_remediate,triage_risk_level,triage_reason,triage_requires_human_review,triage_estimated_impact,triage_estimated_complexity,final_status,remediated_at_round,total_attempts,attempt_1_commands,attempt_1_scan_passed,attempt_1_success,attempt_1_error_summary,attempt_1_duration_s,attempt_1_scan_duration_s,attempt_2_commands,attempt_2_scan_passed,attempt_2_success,attempt_2_error_summary,attempt_2_duration_s,attempt_2_scan_duration_s,attempt_3_commands,attempt_3_scan_passed,attempt_3_success,attempt_3_error_summary,attempt_3_duration_s,attempt_3_scan_duration_s,review_approve,review_is_optimal,review_security_score,review_feedback,review_concerns,qa_safe,qa_verdict_reason,qa_side_effects,qa_regression_detected,qa_recommendation,qa_validation_duration_s,total_duration_s,llm_calls,llm_errors,llm_duration_s,prompt_tokens,completion_tokens,total_tokens,estimated_cost_usd,triage_llm_calls,triage_tokens,triage_cost_usd,triage_duration_s,remedy_llm_calls,remedy_tokens,remedy_cost_usd,remedy_duration_s,review_llm_calls,review_tokens,review_cost_usd,review_duration_s,qa_llm_calls,qa_tokens,qa_cost_usd,qa_duration_s,triage_model,remedy_model,review_model,qa_model
enable_dracut_fips_module,Enable Dracut FIPS Module,3,localhost,enable_dracut_fips_module,xccdf_org.ssgproject.content_rule_enable_dracut_fips_module,compliance,localhost.localdomain,False,critical,"Enabling the Dracut FIPS module requires modifying kernel boot parameters and enabling FIPS mode, which is not supported on an already installed system and can cause system lockout or break critical services. Policy classifies FIPS changes as too dangerous to remediate.",False,reboot required; filesystems affected; FIPS mode activation; kernel boot parameter change; potential system lockout; unsupported on existing installations,high,discarded,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5123710632324219,1,0,1.509,628,595,1223,0.000602,1,1223,0.000602,1.509,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,inception/mercury-2,inception/mercury-2,inception/mercury-2,inception/mercury-2
enable_fips_mode,Enable FIPS Mode,3,localhost,enable_fips_mode,xccdf_org.ssgproject.content_rule_enable_fips_mode,compliance,localhost.localdomain,False,critical,"Enabling FIPS mode requires adding the fips=1 kernel boot argument and updating the system policy, which cannot be applied to an already installed system without a reinstall. Changing boot parameters can render the system unbootable or lock out access if not performed correctly, so remediation is considered too dangerous.",False,reboot required; bootloader; kernel_params; FIPS; system_lockout,high,discarded,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1902902126312256,1,0,1.182,765,600,1365,0.000587,1,1365,0.000587,1.182,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,inception/mercury-2,inception/mercury-2,inception/mercury-2,inception/mercury-2
sysctl_crypto_fips_enabled,Set kernel parameter 'crypto.fips_enabled' to 1,3,localhost,sysctl_crypto_fips_enabled,xccdf_org.ssgproject.content_rule_sysctl_crypto_fips_enabled,compliance,localhost.localdomain,False,critical,"Enabling FIPS mode requires adding the fips=1 kernel boot parameter, which is only supported at installation time. Changing it on an existing system is not supported and may render the system unbootable or cause service disruption. This constitutes a high‑risk bootloader/kernel change.",False,reboot required; FIPS mode activation; kernel boot parameter modification; potential system instability or unbootability,high,discarded,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4829938411712646,1,0,1.462,651,721,1372,0.000702,1,1372,0.000702,1.462,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,inception/mercury-2,inception/mercury-2,inception/mercury-2,inception/mercury-2
installed_OS_is_vendor_supported,The Installed Operating System Is Vendor Supported,3,localhost,installed_OS_is_vendor_supported,xccdf_org.ssgproject.content_rule_installed_OS_is_vendor_supported,compliance,localhost.localdomain,False,medium,"Remediating this finding requires upgrading or replacing the operating system to a vendor-supported version, which can cause service disruption, require a reboot, and may introduce compatibility issues. This is a significant change that should be planned and reviewed by an administrator.",True,reboot required; potential loss of SSH/console access during upgrade; service downtime; compatibility issues with existing applications,high,requires_human_review,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1846129894256592,1,0,1.178,543,659,1202,0.000629,1,1202,0.000629,1.178,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,inception/mercury-2,inception/mercury-2,inception/mercury-2,inception/mercury-2
partition_for_var_tmp,Ensure /var/tmp Located On Separate Partition,2,localhost,partition_for_var_tmp,xccdf_org.ssgproject.content_rule_partition_for_var_tmp,compliance,localhost.localdomain,False,critical,Filesystem/partition/mount-option changes can break boot or services and should not be auto-remediated.,False,reboot required; filesystems affected; filesystems/partitioning; service disruption risk,high,discarded,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0021207332611083984,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,inception/mercury-2,inception/mercury-2,inception/mercury-2,inception/mercury-2
package_gssproxy_removed,Uninstall gssproxy Package,2,localhost,package_gssproxy_removed,xccdf_org.ssgproject.content_rule_package_gssproxy_removed,compliance,localhost.localdomain,False,medium,"Removing gssproxy can break services that depend on it for authentication (e.g., Kerberos, SSSD, SSH GSSAPI). This poses a risk of losing authentication capability or causing service disruption, so a human should evaluate dependencies before removal.",True,authentication/authorization affected; authentication disruption; dependency breakage; potential service outage,medium,requires_human_review,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2401301860809326,1,0,1.227,590,542,1132,0.000553,1,1132,0.000553,1.227,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,inception/mercury-2,inception/mercury-2,inception/mercury-2,inception/mercury-2
ensure_redhat_gpgkey_installed,Ensure Red Hat GPG Key Installed,3,localhost,ensure_redhat_gpgkey_installed,xccdf_org.ssgproject.content_rule_ensure_redhat_gpgkey_installed,compliance,localhost.localdomain,True,low,"The remediation only imports a trusted GPG key and verifies directory permissions, which is a standard, low‑impact operation that does not affect authentication, networking, or critical services.",False,filesystems affected; missing_gpg_key,low,failed,,3,"ls -ld /media/cdrom; rpm -qa gpg-pubkey* --qf '%{NAME}-%{VERSION}-%{RELEASE} %{SIGPG}
'; chmod 755 /etc/pki/rpm-gpg; rpm --import /etc/pki/rpm-gpg/RPM-GPG-KEY-redhat-release; ls -l /etc/pki/rpm-gpg; curl -s -o /etc/pki/rpm-gpg/RPM-GPG-KEY-redhat-release https://www.redhat.com/security/fd/keys/RPM-GPG-KEY-redhat-release; rpm --import /etc/pki/rpm-gpg/RPM-GPG-KEY-redhat-release; rpm --import https://www.redhat.com/security/fd/keys/RPM-GPG-KEY-redhat-release; curl -s -o /etc/pki/rpm-gpg/RPM-GPG-KEY-redhat-release https://ftp.redhat.com/pub/redhat/linux/enterprise/9Server/en/os/x86_64/RPM-GPG-KEY-redhat-release",False,False,,113.34567403793335,118.505,,False,False,can't concat str to bytes,0.0,126.892,dnf install -y redhat-release; rpm -q --filesbypkg redhat-release; dnf install -y redhat-release; wget -q -O /etc/pki/rpm-gpg/RPM-GPG-KEY-redhat-release https://www.redhat.com/security/fd/keys/RPM-GPG-KEY-redhat-release; ls -l /etc/pki/rpm-gpg; gpg --with-fingerprint /etc/pki/rpm-gpg/RPM-GPG-KEY-redhat-release; dnf install -y gnupg; gpg --with-fingerprint /etc/pki/rpm-gpg/RPM-GPG-KEY-redhat-release; gpg2 --with-fingerprint /etc/pki/rpm-gpg/RPM-GPG-KEY-redhat-release; rpm -qa gpg-pubkey*; rpm -qi gpg-pubkey-350d275d-6279464b; gpg --show-keys /etc/pki/rpm-gpg/RPM-GPG-KEY-redhat-release,False,False,,197.38809180259705,96.607,True,False,8,"The plan now includes fingerprint verification, installs the missing package, corrects directory and file permissions, and ensures the key is imported. It addresses the concerns from the previous review.","Key file permissions are set to 644, which allows world‑readable access; 600 would be stricter.; The plan assumes gpg is available and does not explicitly check for its presence.; No explicit error handling is described for cases where the fingerprint does not match or the import fails.",True,"The plan only checks for the presence of the Red Hat GPG key, installs the providing package if missing, verifies the fingerprint, corrects directory and file permissions, and imports the key if needed. These actions are standard and do not interfere with critical services or authentication mechanisms. Permissions changes are permissive but not destructive, and installing the redhat-release package on Rocky Linux is safe though may be a no‑op if the package is already present.","Potential installation of the redhat-release package, which may add or update files but does not affect service operation.; Key file becomes world‑readable (mode 644), slightly reducing confidentiality but not impacting functionality.",False,Approve,1.086176872253418,197.39341688156128,17,0,12.233,81885,4243,86128,0.014001,0,0,0.0,0.0,15,82096,0.01254,10.063,1,1999,0.000725,1.089,1,2033,0.000734,1.082,inception/mercury-2,inception/mercury-2,inception/mercury-2,inception/mercury-2
banner_etc_issue,Modify the System Login Banner,2,localhost,banner_etc_issue,xccdf_org.ssgproject.content_rule_banner_etc_issue,compliance,localhost.localdomain,True,low,"The remediation only edits /etc/issue, a pre‑login banner file. This change does not affect authentication mechanisms, network services, or critical system components, and can be validated quickly without risking lockout.",False,filesystems affected,low,failed,,3,"chmod 0644 /etc/issue; chown root:root /etc/issue; stat -c ""%a %U %G"" /etc/issue",False,False,,62.928593158721924,103.727,"stat -c ""%a %U %G"" /etc/issue; stat -c ""%a %U %G"" /etc/issue",False,False,,83.5346851348877,113.097,cp /etc/issue /etc/issue.bak; install -m 0644 -o root -g root /etc/issue /etc/issue; ls -l /etc/issue; cat /etc/issue,False,False,,48.407150983810425,108.977,True,False,8,"The plan addresses the vulnerability by backing up /etc/issue, writing the required DoD banner, and resetting permissions. It meets the primary remediation goals, though a few minor enhancements could improve robustness.","The plan assumes the write_file operation will correctly preserve line breaks and add a trailing newline; this is not explicitly verified.; SELinux file context is not addressed, which could affect the banner display on systems with enforcing policies.; Verification only displays the file; a diff against the expected content would provide stronger assurance.",True,"The plan only modifies /etc/issue, a non-critical display file, with a backup, correct permissions, and verification. It does not affect SSH authentication, system services, or networking. The changes are straightforward and unlikely to cause outages.",Potential SELinux context reset on /etc/issue if install does not preserve the original label,False,Approve,1.1712899208068848,48.41359305381775,14,0,12.728,47675,4226,51901,0.009149,0,0,0.0,0.0,12,48181,0.008027,10.366,1,2108,0.000627,1.195,1,1612,0.000496,1.168,inception/mercury-2,inception/mercury-2,inception/mercury-2,inception/mercury-2
accounts_password_pam_dcredit,Ensure PAM Enforces Password Requirements - Minimum Digit Characters,2,localhost,accounts_password_pam_dcredit,xccdf_org.ssgproject.content_rule_accounts_password_pam_dcredit,compliance,localhost.localdomain,True,low,"The finding requires a simple PAM configuration edit to enforce a minimum digit requirement. This follows standard STIG hardening patterns, does not alter system boot or critical services, and poses minimal risk of lockout if tested before deployment.",False,authentication/authorization affected; password_policy_enforcement; potential_user_lockout,low,success,1,1,cp /etc/security/pwquality.conf /etc/security/pwquality.conf.bak; sed -i 's/^\s*dcredit\s*=.*/dcredit = -1/' /etc/security/pwquality.conf; chmod 0644 /etc/security/pwquality.conf,True,True,,40.400562047958374,112.692,,,,,,,,,,,,,True,False,7,"The plan will set dcredit to -1, which enforces at least one digit in passwords and resolves the vulnerability. It correctly handles existing lines and appends the setting if missing. However, it could be improved with backups, permission enforcement, and handling of pwquality.conf.d files.",No backup of the original configuration file is made before editing.; File permissions are assumed unchanged but not explicitly enforced after the append operation.; The plan only edits /etc/security/pwquality.conf and may miss overrides in /etc/security/pwquality.conf.d/*.conf.,True,"Setting dcredit=-1 in /etc/security/pwquality.conf enforces a digit requirement for new passwords without altering PAM module loading or other services. The change is limited to password quality enforcement and will not prevent existing logins or break SSH, auditd, firewalld, or networking. The only impact is that password changes that do not include a digit will be rejected, which is expected behavior for this remediation.",Password change operations may fail if the new password lacks a digit.; Users may need to update scripts or automation that set passwords without digits.,False,Approve,0.9681868553161621,41.57475185394287,14,0,8.934,45039,3267,48306,0.010743,1,1367,0.000576,1.162,11,43556,0.008824,5.391,1,1751,0.000787,1.417,1,1632,0.000555,0.964,inception/mercury-2,inception/mercury-2,inception/mercury-2,inception/mercury-2
accounts_password_pam_enforce_root,Ensure PAM Enforces Password Requirements - Enforce for root User,2,localhost,accounts_password_pam_enforce_root,xccdf_org.ssgproject.content_rule_accounts_password_pam_enforce_root,compliance,localhost.localdomain,True,low,"The remediation only adds the enforce_for_root directive to /etc/security/pwquality.conf, a standard PAM password quality configuration. This change does not modify services, kernel parameters, or boot settings, and is unlikely to cause lockout or system instability. It follows typical STIG hardening patterns for authentication.",False,authentication/authorization affected,low,failed,,3,cp /etc/security/pwquality.conf /etc/security/pwquality.conf.bak; sed -i '/^\s*enforce_for_root/Id' /etc/security/pwquality.conf; sed -i -e '$a\' /etc/security/pwquality.conf; printf '%s\n' 'enforce_for_root = 1' >> /etc/security/pwquality.conf,False,False,,48.31116580963135,125.256,touch /etc/security/pwquality.conf; cp -a /etc/security/pwquality.conf /etc/security/pwquality.conf.$(date +%Y%m%d%H%M%S).bak; sed -i 's/^\s*#\?enforce_for_root.*/enforce_for_root = 1/' /etc/security/pwquality.conf; sed -i '/enforce_for_root/!$a enforce_for_root = 1' /etc/security/pwquality.conf; grep -q 'enforce_for_root' /etc/security/pwquality.conf,False,False,,50.04338192939758,100.116,test -f /etc/security/pwquality.conf; cp -a /etc/security/pwquality.conf /etc/security/pwquality.conf.$(date +%Y%m%d%H%M%S).bak; grep -E '^\s*enforce_for_root\s*=\s*1' /etc/security/pwquality.conf; sed -i '/^\s*#\s*enforce_for_root/d' /etc/security/pwquality.conf; grep -E '^\s*enforce_for_root\s*=\s*1' /etc/security/pwquality.conf,False,False,,55.25149703025818,106.366,True,False,9,"The plan will correctly add or update enforce_for_root = 1 in /etc/security/pwquality.conf while creating a timestamped backup, addressing the vulnerability.","The abstract read_file/write_file steps may not preserve SELinux context or extended attributes when overwriting the file.; If the file does not exist, the backup will be of an empty file; creating the backup after touching may result in an empty backup.; The plan does not explicitly use an atomic replace (e.g., mv -Z) which could briefly leave the file in an inconsistent state.",True,"The plan correctly adds or updates the enforce_for_root = 1 setting in /etc/security/pwquality.conf, preserving permissions and creating a backup. This change only affects password complexity enforcement for the root account and does not interfere with SSH, PAM authentication, or other critical services. The risk of breaking services is minimal, and any SELinux context loss can be restored from the backup.",Possible loss of SELinux context or extended attributes if write_file does not preserve them; Brief moment where the file may be missing or partially written during the replace operation,False,Approve,1.0324342250823975,55.258235692977905,14,0,11.27,56809,4289,61098,0.010614,0,0,0.0,0.0,12,57433,0.009378,8.993,1,2015,0.000667,1.25,1,1650,0.000569,1.025,inception/mercury-2,inception/mercury-2,inception/mercury-2,inception/mercury-2
