section,metric,value,category
overview,total_findings,150,
overview,total_remediated,108,
overview,total_failed,24,
overview,total_discarded,12,
overview,total_requires_human_review,6,
overview,success_rate_pct,72.0,
per_round,fixed_count,92,round_1
per_round,fixed_count,13,round_2
per_round,fixed_count,3,round_3
per_severity,total,139,severity_2
per_severity,remediated,104,severity_2
per_severity,failed,23,severity_2
per_severity,total,11,severity_3
per_severity,remediated,4,severity_3
per_severity,failed,1,severity_3
timing,total_elapsed_s,7415.14,
timing,avg_duration_per_finding_s,35.0,
timing,min_duration_s,0.0,
timing,max_duration_s,172.82,
timing,avg_triage_duration_s,1.15,
timing,avg_remedy_duration_s,7.1,
timing,avg_review_duration_s,1.44,
timing,avg_qa_duration_s,1.06,
cost,total_cost_usd,1.2507,
cost,total_tokens,6176976,
cost,avg_cost_per_finding_usd,0.0083,
cost,avg_tokens_per_finding,41180,
models,model_name,inception/mercury-2,triage
models,model_name,inception/mercury-2,remedy
models,model_name,inception/mercury-2,review
models,model_name,inception/mercury-2,qa
stage_stats,triage_total,150,
stage_stats,triage_remediate,132,
stage_stats,triage_discard,18,
stage_stats,triage_human_review,6,
stage_stats,remedy_total,132,
stage_stats,remedy_passed_scan,108,
stage_stats,remedy_failed_scan,24,
stage_stats,remedy_avg_attempts,1.51,
stage_stats,review_total,125,
stage_stats,review_approved,125,
stage_stats,review_rejected,0,
stage_stats,review_avg_security_score,8.16,
stage_stats,qa_total,125,
stage_stats,qa_safe,123,
stage_stats,qa_unsafe,2,
stage_stats,qa_regressions,0,
