section,metric,value,category
overview,total_findings,13,
overview,total_remediated,0,
overview,total_failed,8,
overview,total_discarded,3,
overview,total_requires_human_review,2,
overview,success_rate_pct,0.0,
per_round,fixed_count,0,round_1
per_round,fixed_count,0,round_2
per_round,fixed_count,0,round_3
per_severity,total,7,severity_2
per_severity,remediated,0,severity_2
per_severity,failed,5,severity_2
per_severity,total,6,severity_3
per_severity,remediated,0,severity_3
per_severity,failed,3,severity_3
timing,total_elapsed_s,915.77,
timing,avg_duration_per_finding_s,2.32,
timing,min_duration_s,0.07,
timing,max_duration_s,6.36,
timing,avg_triage_duration_s,5.33,
timing,avg_remedy_duration_s,1.03,
timing,avg_review_duration_s,0,
timing,avg_qa_duration_s,0,
cost,total_cost_usd,0.0003,
cost,total_tokens,3311,
cost,avg_cost_per_finding_usd,0.0,
cost,avg_tokens_per_finding,255,
models,model_name,microsoft/phi-4,triage
models,model_name,microsoft/phi-4,remedy
models,model_name,microsoft/phi-4,review
models,model_name,microsoft/phi-4,qa
stage_stats,triage_total,13,
stage_stats,triage_remediate,8,
stage_stats,triage_discard,5,
stage_stats,triage_human_review,2,
stage_stats,remedy_total,8,
stage_stats,remedy_passed_scan,0,
stage_stats,remedy_failed_scan,8,
stage_stats,remedy_avg_attempts,3.0,
stage_stats,review_total,0,
stage_stats,review_approved,0,
stage_stats,review_rejected,0,
stage_stats,review_avg_security_score,0,
stage_stats,qa_total,0,
stage_stats,qa_safe,0,
stage_stats,qa_unsafe,0,
stage_stats,qa_regressions,0,
