finding_id,title,severity,host,rule,oval_id,scan_class,os,triage_should_remediate,triage_risk_level,triage_reason,triage_requires_human_review,triage_estimated_impact,triage_estimated_complexity,final_status,remediated_at_round,total_attempts,attempt_1_commands,attempt_1_scan_passed,attempt_1_success,attempt_1_error_summary,attempt_1_duration_s,attempt_1_scan_duration_s,attempt_2_commands,attempt_2_scan_passed,attempt_2_success,attempt_2_error_summary,attempt_2_duration_s,attempt_2_scan_duration_s,attempt_3_commands,attempt_3_scan_passed,attempt_3_success,attempt_3_error_summary,attempt_3_duration_s,attempt_3_scan_duration_s,review_approve,review_is_optimal,review_security_score,review_feedback,review_concerns,qa_safe,qa_verdict_reason,qa_side_effects,qa_regression_detected,qa_recommendation,qa_validation_duration_s,total_duration_s,llm_calls,llm_errors,llm_duration_s,prompt_tokens,completion_tokens,total_tokens,estimated_cost_usd,triage_llm_calls,triage_tokens,triage_cost_usd,triage_duration_s,remedy_llm_calls,remedy_tokens,remedy_cost_usd,remedy_duration_s,review_llm_calls,review_tokens,review_cost_usd,review_duration_s,qa_llm_calls,qa_tokens,qa_cost_usd,qa_duration_s,triage_model,remedy_model,review_model,qa_model
enable_dracut_fips_module,Enable Dracut FIPS Module,3,mcdc-gw-re0.net.tamu.edu,enable_dracut_fips_module,xccdf_org.ssgproject.content_rule_enable_dracut_fips_module,compliance,mcdc-gw-re0.net.tamu.edu,False,critical,"Enabling FIPS mode requires adding the fips module to dracut and rebuilding the initramfs, which involves bootloader/kernel initialization changes. Incorrect configuration can prevent the system from booting.",False,reboot required; bootloader modification; FIPS mode activation; potential boot failure,medium,discarded,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.486180782318115,1,0,6.451,669,943,1612,0.000538,1,1612,0.000538,6.451,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,nvidia/nemotron-3-super-120b-a12b,nvidia/nemotron-3-super-120b-a12b,nvidia/nemotron-3-super-120b-a12b,nvidia/nemotron-3-super-120b-a12b
enable_fips_mode,Enable FIPS Mode,3,mcdc-gw-re0.net.tamu.edu,enable_fips_mode,xccdf_org.ssgproject.content_rule_enable_fips_mode,compliance,mcdc-gw-re0.net.tamu.edu,False,critical,"Enabling FIPS mode requires setting the kernel boot parameter fips=1, which involves modifying boot loader configuration. Applying this change on a running system is unsupported and may render the system unbootable.",False,reboot required; boot loader modification; kernel parameter change; potential boot failure; unsupported on existing installations,high,discarded,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.349698305130005,1,0,4.326,805,585,1390,0.000373,1,1390,0.000373,4.326,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,nvidia/nemotron-3-super-120b-a12b,nvidia/nemotron-3-super-120b-a12b,nvidia/nemotron-3-super-120b-a12b,nvidia/nemotron-3-super-120b-a12b
sysctl_crypto_fips_enabled,Set kernel parameter 'crypto.fips_enabled' to 1,3,mcdc-gw-re0.net.tamu.edu,sysctl_crypto_fips_enabled,xccdf_org.ssgproject.content_rule_sysctl_crypto_fips_enabled,compliance,mcdc-gw-re0.net.tamu.edu,False,critical,Enabling FIPS mode on a preinstalled system is not supported; the system must be installed with the fips=1 kernel boot parameter. Changing crypto.fips_enabled at runtime will not persist and may break cryptographic services.,False,reboot required; System may lose cryptographic functionality; Requires reboot or reinstall to take effect; Changing FIPS mode on a running system is unsupported; Potential disruption to services relying on cryptographic modules,medium,discarded,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.43584132194519,1,0,6.39,711,823,1534,0.000483,1,1534,0.000483,6.39,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,nvidia/nemotron-3-super-120b-a12b,nvidia/nemotron-3-super-120b-a12b,nvidia/nemotron-3-super-120b-a12b,nvidia/nemotron-3-super-120b-a12b
installed_OS_is_vendor_supported,The Installed Operating System Is Vendor Supported,3,mcdc-gw-re0.net.tamu.edu,installed_OS_is_vendor_supported,xccdf_org.ssgproject.content_rule_installed_OS_is_vendor_supported,compliance,mcdc-gw-re0.net.tamu.edu,True,low,"Ensuring the OS is vendor supported involves checking subscription status and enabling appropriate repositories, which does not modify authentication, security-critical files, or filesystem structures in a way that could cause lockout or break services.",False,networking affected; May require network access to subscription manager,low,failed,,3,,False,False,,9.827739238739014,,rpm -q redhat-release; dnf provides redhat-release; rpm -q rocky-release; rpm -ql rocky-release | grep -E 'release|issue',False,False,,66.46982955932617,,,False,False,,30.070316314697266,,False,False,3,"The plan relies on potentially ineffective actions such as modifying system files to appear vendor-supported or attempting subscription-manager registration on a non-RHEL system. These do not confer actual vendor support or access to Red Hat security patches. To resolve the vulnerability, the system must be running a genuine vendor-supported distribution (e.g., RHEL) with an active subscription.",Modifying release files does not change the underlying OS vendor support status.; Registering a Rocky Linux system with subscription-manager will not grant access to RHEL repositories.; The plan does not include a definitive step to replace the OS with a vendor-supported distribution.; Attempting to misrepresent the OS may violate compliance and break tooling that depends on accurate OS identification.,,,,,,,30.084457397460938,2,0,30.036,2824,2710,5534,0.002298,0,0,0.0,0.0,1,3383,0.000962,7.727,1,2151,0.001337,22.31,0,0,0.0,0.0,nvidia/nemotron-3-super-120b-a12b,nvidia/nemotron-3-super-120b-a12b,nvidia/nemotron-3-super-120b-a12b,nvidia/nemotron-3-super-120b-a12b
partition_for_var_tmp,Ensure /var/tmp Located On Separate Partition,2,mcdc-gw-re0.net.tamu.edu,partition_for_var_tmp,xccdf_org.ssgproject.content_rule_partition_for_var_tmp,compliance,mcdc-gw-re0.net.tamu.edu,False,critical,Filesystem/partition/mount-option changes can break boot or services and should not be auto-remediated.,False,reboot required; filesystems affected; filesystems/partitioning; service disruption risk,high,discarded,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012777328491210938,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,nvidia/nemotron-3-super-120b-a12b,nvidia/nemotron-3-super-120b-a12b,nvidia/nemotron-3-super-120b-a12b,nvidia/nemotron-3-super-120b-a12b
accounts_authorized_local_users,Only Authorized Local User Accounts Exist on Operating System,2,mcdc-gw-re0.net.tamu.edu,accounts_authorized_local_users,xccdf_org.ssgproject.content_rule_accounts_authorized_local_users,compliance,mcdc-gw-re0.net.tamu.edu,False,medium,Removing local user accounts can cause loss of SSH/console access or break services if a needed account is deleted inadvertently; therefore human review is required to identify which accounts are truly unauthorized before remediation.,True,authentication/authorization affected; potential loss of SSH/console access if a needed account is removed; breaking services that rely on specific user accounts; impact on authentication/authorization,low,requires_human_review,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.07778835296631,1,0,22.057,691,817,1508,0.000943,1,1508,0.000943,22.057,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,nvidia/nemotron-3-super-120b-a12b,nvidia/nemotron-3-super-120b-a12b,nvidia/nemotron-3-super-120b-a12b,nvidia/nemotron-3-super-120b-a12b
grub2_admin_username,Set the Boot Loader Admin Username to a Non-Default Value,3,mcdc-gw-re0.net.tamu.edu,grub2_admin_username,xccdf_org.ssgproject.content_rule_grub2_admin_username,compliance,mcdc-gw-re0.net.tamu.edu,False,low,"Changing the default GRUB2 superuser account name prevents use of well-known credentials (e.g., root, admin) that could be exploited for privilege escalation. Using a unique, non-default username reduces the attack surface for boot-time authentication bypass.",True,authentication/authorization affected; filesystems affected; default credentials; privilege escalation,medium,requires_human_review,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.468958854675293,1,0,3.441,748,553,1301,0.000351,1,1301,0.000351,3.441,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,nvidia/nemotron-3-super-120b-a12b,nvidia/nemotron-3-super-120b-a12b,nvidia/nemotron-3-super-120b-a12b,nvidia/nemotron-3-super-120b-a12b
grub2_password,Set Boot Loader Password in grub2,3,mcdc-gw-re0.net.tamu.edu,grub2_password,xccdf_org.ssgproject.content_rule_grub2_password,compliance,mcdc-gw-re0.net.tamu.edu,False,critical,"Modifying the GRUB2 boot loader password can render the system unbootable if the password is mistyped or forgotten, requiring physical console access or rescue media to recover.",False,reboot required; authentication/authorization affected; Boot lockout due to incorrect password; Need for physical console access to recover; Potential inability to boot if GRUB config is corrupted,medium,discarded,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.188843250274658,1,0,4.167,601,553,1154,0.000337,1,1154,0.000337,4.167,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,nvidia/nemotron-3-super-120b-a12b,nvidia/nemotron-3-super-120b-a12b,nvidia/nemotron-3-super-120b-a12b,nvidia/nemotron-3-super-120b-a12b
sysctl_user_max_user_namespaces_no_remediation,Disable the use of user namespaces,2,mcdc-gw-re0.net.tamu.edu,sysctl_user_max_user_namespaces_no_remediation,xccdf_org.ssgproject.content_rule_sysctl_user_max_user_namespaces_no_remediation,compliance,mcdc-gw-re0.net.tamu.edu,True,low,"Setting user.max_user_namespaces=0 is a kernel sysctl change that does not affect authentication, networking, or filesystems. It can be persisted via /etc/sysctl.d and applied without reboot, making it safe to remediate automatically.",False,May break container runtimes that rely on user namespaces,low,success,1,1,sysctl user.max_user_namespaces; mkdir -p /etc/sysctl.d; sysctl -w user.max_user_namespaces=0,True,True,,54.96722483634949,29.227,,,,,,,,,,,,,True,True,8,,,True,"The remediation plan follows the exact steps specified in the vulnerability description to disable the use of user namespaces by setting the kernel parameter user.max_user_namespaces to 0. The steps are safe: checking the current value is read-only, ensuring the configuration directory exists (creating if missing is harmless), writing a configuration file in the correct location is standard practice, and applying the setting via sysctl -w is the recommended method. No critical services are broken, no lockouts occur, and no data loss is expected as the changes are confined to kernel parameter adjustment through proper sysctl interfaces.",,False,Approve,9.843624830245972,59.27650332450867,14,0,43.847,31009,4574,35583,0.005388,1,1234,0.000362,4.244,11,29981,0.00344,25.908,1,1154,0.000288,3.859,1,3214,0.001298,9.836,nvidia/nemotron-3-super-120b-a12b,nvidia/nemotron-3-super-120b-a12b,nvidia/nemotron-3-super-120b-a12b,nvidia/nemotron-3-super-120b-a12b
selinux_context_elevation_for_sudo,Elevate The SELinux Context When An Administrator Calls The Sudo Command,2,mcdc-gw-re0.net.tamu.edu,selinux_context_elevation_for_sudo,xccdf_org.ssgproject.content_rule_selinux_context_elevation_for_sudo,compliance,mcdc-gw-re0.net.tamu.edu,True,low,"The fix adds a standard sudoers directive (TYPE=sysadm_t ROLE=sysadm_r) via a file in /etc/sudoers.d, edited with visudo which validates syntax. This follows STIG hardening patterns for sudo and is unlikely to cause lockout or system breakage when applied correctly.",False,authentication/authorization affected; Incorrect sudoers syntax could impair sudo access if visudo is bypassed; Missing SELinux type/role definitions could cause permission denials for sudoed commands,low,success,1,1,ls -la /etc/sudoers.d; visudo -c -f /etc/sudoers.d/99_selinux_context,True,True,,27.801572561264038,28.418,,,,,,,,,,,,,,,,,,,,,,,,34.82916331291199,9,0,25.574,19437,1465,20902,0.003077,1,1347,0.000799,6.861,8,19555,0.002279,18.713,0,0,0.0,0.0,0,0,0.0,0.0,nvidia/nemotron-3-super-120b-a12b,nvidia/nemotron-3-super-120b-a12b,nvidia/nemotron-3-super-120b-a12b,nvidia/nemotron-3-super-120b-a12b
