section,metric,value,category
overview,total_findings,150,
overview,total_remediated,4,
overview,total_failed,124,
overview,total_discarded,5,
overview,total_requires_human_review,17,
overview,success_rate_pct,2.7,
per_round,fixed_count,2,round_1
per_round,fixed_count,0,round_2
per_round,fixed_count,2,round_3
per_severity,total,139,severity_2
per_severity,remediated,4,severity_2
per_severity,failed,116,severity_2
per_severity,total,11,severity_3
per_severity,remediated,0,severity_3
per_severity,failed,8,severity_3
timing,total_elapsed_s,5865.11,
timing,avg_duration_per_finding_s,35.45,
timing,min_duration_s,0.0,
timing,max_duration_s,254.89,
timing,avg_triage_duration_s,4.49,
timing,avg_remedy_duration_s,22.22,
timing,avg_review_duration_s,13.04,
timing,avg_qa_duration_s,6.67,
cost,total_cost_usd,1.0555,
cost,total_tokens,7274195,
cost,avg_cost_per_finding_usd,0.007,
cost,avg_tokens_per_finding,48495,
models,model_name,nvidia/nemotron-3-super-120b-a12b,triage
models,model_name,nvidia/nemotron-3-super-120b-a12b,remedy
models,model_name,nvidia/nemotron-3-super-120b-a12b,review
models,model_name,nvidia/nemotron-3-super-120b-a12b,qa
stage_stats,triage_total,150,
stage_stats,triage_remediate,128,
stage_stats,triage_discard,22,
stage_stats,triage_human_review,17,
stage_stats,remedy_total,128,
stage_stats,remedy_passed_scan,4,
stage_stats,remedy_failed_scan,124,
stage_stats,remedy_avg_attempts,2.97,
stage_stats,review_total,36,
stage_stats,review_approved,29,
stage_stats,review_rejected,7,
stage_stats,review_avg_security_score,7.74,
stage_stats,qa_total,29,
stage_stats,qa_safe,25,
stage_stats,qa_unsafe,4,
stage_stats,qa_regressions,0,
