section,metric,value,category
overview,total_findings,18,
overview,total_remediated,6,
overview,total_failed,4,
overview,total_discarded,6,
overview,total_requires_human_review,2,
overview,success_rate_pct,33.3,
per_round,fixed_count,4,round_1
per_round,fixed_count,2,round_2
per_round,fixed_count,0,round_3
per_severity,total,11,severity_2
per_severity,remediated,6,severity_2
per_severity,failed,3,severity_2
per_severity,total,7,severity_3
per_severity,remediated,0,severity_3
per_severity,failed,1,severity_3
timing,total_elapsed_s,2737.22,
timing,avg_duration_per_finding_s,95.87,
timing,min_duration_s,0.04,
timing,max_duration_s,441.91,
timing,avg_triage_duration_s,13.56,
timing,avg_remedy_duration_s,75.11,
timing,avg_review_duration_s,26.25,
timing,avg_qa_duration_s,28.14,
cost,total_cost_usd,0.0663,
cost,total_tokens,616436,
cost,avg_cost_per_finding_usd,0.0037,
cost,avg_tokens_per_finding,34246,
models,model_name,unknown,triage
models,model_name,openai/gpt-oss-120b,remedy
models,model_name,openai/gpt-oss-120b,review
models,model_name,openai/gpt-oss-120b,qa
stage_stats,triage_total,18,
stage_stats,triage_remediate,10,
stage_stats,triage_discard,8,
stage_stats,triage_human_review,2,
stage_stats,remedy_total,10,
stage_stats,remedy_passed_scan,6,
stage_stats,remedy_failed_scan,4,
stage_stats,remedy_avg_attempts,2.0,
stage_stats,review_total,10,
stage_stats,review_approved,10,
stage_stats,review_rejected,0,
stage_stats,review_avg_security_score,8.2,
stage_stats,qa_total,10,
stage_stats,qa_safe,9,
stage_stats,qa_unsafe,1,
stage_stats,qa_regressions,0,
