section,metric,value,category
overview,total_findings,59,
overview,total_remediated,29,
overview,total_failed,10,
overview,total_discarded,12,
overview,total_requires_human_review,8,
overview,success_rate_pct,49.2,
per_round,fixed_count,22,round_1
per_round,fixed_count,5,round_2
per_round,fixed_count,2,round_3
per_severity,total,49,severity_2
per_severity,remediated,27,severity_2
per_severity,failed,8,severity_2
per_severity,total,10,severity_3
per_severity,remediated,2,severity_3
per_severity,failed,2,severity_3
timing,total_elapsed_s,3602.51,
timing,avg_duration_per_finding_s,90.53,
timing,min_duration_s,0.01,
timing,max_duration_s,479.25,
timing,avg_triage_duration_s,24.26,
timing,avg_remedy_duration_s,44.51,
timing,avg_review_duration_s,27.02,
timing,avg_qa_duration_s,15.25,
cost,total_cost_usd,0.2022,
cost,total_tokens,1687770,
cost,avg_cost_per_finding_usd,0.0034,
cost,avg_tokens_per_finding,28606,
models,model_name,openai/gpt-oss-120b,triage
models,model_name,openai/gpt-oss-120b,remedy
models,model_name,openai/gpt-oss-120b,review
models,model_name,openai/gpt-oss-120b,qa
stage_stats,triage_total,59,
stage_stats,triage_remediate,39,
stage_stats,triage_discard,20,
stage_stats,triage_human_review,8,
stage_stats,remedy_total,39,
stage_stats,remedy_passed_scan,29,
stage_stats,remedy_failed_scan,10,
stage_stats,remedy_avg_attempts,1.74,
stage_stats,review_total,38,
stage_stats,review_approved,37,
stage_stats,review_rejected,1,
stage_stats,review_avg_security_score,7.95,
stage_stats,qa_total,37,
stage_stats,qa_safe,36,
stage_stats,qa_unsafe,1,
stage_stats,qa_regressions,0,
