finding_id,title,severity,host,rule,oval_id,scan_class,os,triage_should_remediate,triage_risk_level,triage_reason,triage_requires_human_review,triage_estimated_impact,triage_estimated_complexity,final_status,remediated_at_round,total_attempts,attempt_1_commands,attempt_1_scan_passed,attempt_1_success,attempt_1_error_summary,attempt_1_duration_s,attempt_1_scan_duration_s,attempt_2_commands,attempt_2_scan_passed,attempt_2_success,attempt_2_error_summary,attempt_2_duration_s,attempt_2_scan_duration_s,attempt_3_commands,attempt_3_scan_passed,attempt_3_success,attempt_3_error_summary,attempt_3_duration_s,attempt_3_scan_duration_s,review_approve,review_is_optimal,review_security_score,review_feedback,review_concerns,qa_safe,qa_verdict_reason,qa_side_effects,qa_regression_detected,qa_recommendation,qa_validation_duration_s,total_duration_s,llm_calls,llm_errors,llm_duration_s,prompt_tokens,completion_tokens,total_tokens,estimated_cost_usd,triage_llm_calls,triage_tokens,triage_cost_usd,triage_duration_s,remedy_llm_calls,remedy_tokens,remedy_cost_usd,remedy_duration_s,review_llm_calls,review_tokens,review_cost_usd,review_duration_s,qa_llm_calls,qa_tokens,qa_cost_usd,qa_duration_s,triage_model,remedy_model,review_model,qa_model
package_aide_installed,Install AIDE,2,localhost,package_aide_installed,xccdf_org.ssgproject.content_rule_package_aide_installed,compliance,localhost.localdomain,True,low,"The remediation only installs the aide package, which is a standard integrity checking tool. Installing a package does not modify authentication, networking, or filesystem layout and poses minimal risk of lockout or service disruption.",False,,low,success,1,1,rpm -q --quiet kernel-core; rpm -q --quiet aide; dnf install -y aide,True,True,,40.49757409095764,79.734,,,,,,,,,,,,,True,True,8,,,True,"Installing the aide package is a benign operation that adds an integrity‑checking tool. It does not modify existing system services or authentication mechanisms, so it will not lock out SSH or disrupt critical daemons.",Additional binaries and libraries installed; Default configuration file (/etc/aide.conf) created; Potential systemd timer/unit (aidecheck.timer) installed but inactive until enabled,False,Approve,3.1650960445404053,46.37781286239624,12,0,21.841,17995,2318,20313,0.004025,1,1084,0.000112,5.862,9,16832,0.003148,10.378,1,1279,0.000441,2.437,1,1118,0.000325,3.163,openai/gpt-oss-120b,openai/gpt-oss-120b,openai/gpt-oss-120b,openai/gpt-oss-120b
aide_build_database,Build and Test AIDE Database,2,localhost,aide_build_database,xccdf_org.ssgproject.content_rule_aide_build_database,compliance,localhost.localdomain,True,low,"The remediation only installs the aide package (if missing), initializes the AIDE database, and copies the new database into place. These actions are standard, low‑impact operations that do not affect authentication, networking, or boot configuration, and they do not require a reboot.",False,filesystems affected,low,success,1,1,rpm -q aide; /usr/sbin/aide --init; ls -l /var/lib/aide; cp -p /var/lib/aide/aide.db.new.gz /var/lib/aide/aide.db.gz,True,True,,115.76166296005249,70.344,,,,,,,,,,,,,True,False,8,"The plan will correctly install AIDE if missing, initialise a new database and copy it into place, which satisfies the vulnerability requirement. Minor enhancements are recommended (platform guard, verification check, privilege handling).","No platform applicability check (e.g., presence of kernel-core rpm) as in original script; Does not run `aide --check` after installing the database to verify integrity; Assumes the commands are executed with sufficient privileges (sudo/root) without explicitly stating it",True,"The plan simply ensures the AIDE package is present, builds a new AIDE database and copies it over the existing one. Installing AIDE and initializing its database does not interfere with SSH, auditd, firewalld, networking or other critical services. The only side‑effect is overwriting the previous AIDE baseline, which may cause future integrity checks to report changes but does not cause outages or lockouts.",Overwrites any existing AIDE database (loss of previous baseline),False,Approve,10.83876895904541,124.11385202407837,13,0,31.218,26462,2940,29402,0.005465,1,1229,0.000145,8.341,10,24792,0.004608,9.198,1,1832,0.000492,2.843,1,1549,0.000219,10.837,openai/gpt-oss-120b,openai/gpt-oss-120b,openai/gpt-oss-120b,openai/gpt-oss-120b
aide_check_audit_tools,Configure AIDE to Verify the Audit Tools,2,localhost,aide_check_audit_tools,xccdf_org.ssgproject.content_rule_aide_check_audit_tools,compliance,localhost.localdomain,True,low,"The remediation only installs the AIDE package (if missing) and appends or updates simple lines in /etc/aide.conf. These actions are standard STIG hardening steps, involve no service restarts that could disrupt critical functionality, and do not affect authentication, networking, or filesystem layout. The change is low‑complexity and unlikely to cause lockout or system breakage.",False,"Potential for AIDE false positives if the configuration is incorrect; If AIDE database is not reinitialized, integrity checks may fail",low,failed,,3,,False,False,,23.423362970352173,,"dnf install -y aide; cp /etc/aide.conf /etc/aide.conf.bak; grep -i -E '/usr/sbin/(auditctl|auditd|ausearch)' /etc/aide.conf || true; echo ""/usr/sbin/auditctl p+i+n+u+g+s+b+acl+xattrs+sha512"" >> /etc/aide.conf; echo ""/usr/sbin/auditd p+i+n+u+g+s+b+acl+xattrs+sha512"" >> /etc/aide.conf; echo ""/usr/sbin/ausearch p+i+n+u+g+s+b+acl+xattrs+sha512"" >> /etc/aide.conf",False,False,,80.78246593475342,47.674,"dnf install -y aide; cp /etc/aide.conf /etc/aide.conf.bak; sed -i -e '/\/usr\/sbin\/auditctl/d' -e '/\/usr\/sbin\/auditd/d' -e '/\/usr\/sbin\/ausearch/d' /etc/aide.conf; printf '%s
' ""/usr/sbin/auditctl p+i+n+u+g+s+b+acl+xattrs+sha512"" ""/usr/sbin/auditd p+i+n+u+g+s+b+acl+xattrs+sha512"" ""/usr/sbin/ausearch p+i+n+u+g+s+b+acl+xattrs+sha512"" >> /etc/aide.conf; grep -c '^/usr/sbin/auditctl ' /etc/aide.conf; grep -c '^/usr/sbin/auditd ' /etc/aide.conf; grep -c '^/usr/sbin/ausearch ' /etc/aide.conf",False,False,,242.5131368637085,23.993,True,False,8,"The plan now installs AIDE if missing, backs up the configuration, removes any existing audit tool entries, and appends the required lines for auditctl, auditd, and ausearch with the correct attribute set. This will satisfy the STIG requirement and resolve the vulnerability.","The sed delete step runs unconditionally; if /etc/aide.conf does not exist the command will fail.; The delete patterns only match paths under /usr/sbin; entries using /sbin may be left unchanged, potentially causing duplicate or incomplete configurations.; No verification step after the changes (e.g., grep to ensure a single entry per tool or running aide --check) is included.",True,"The plan only installs AIDE, backs up the config, removes specific audit tool entries, and appends the required lines. These changes affect only AIDE configuration and do not modify running services or authentication mechanisms, so they are unlikely to cause service outages or lockouts.","If /etc/aide.conf does not exist, the sed delete command will fail but will not harm the system.; Entries using /sbin paths instead of /usr/sbin may remain, potentially leading to duplicate lines after the append.; No verification step is included to confirm that only one entry per tool exists.",False,Approve,1.8914058208465576,242.5232892036438,16,0,222.497,84517,5935,90452,0.016402,0,0,0.0,0.0,14,85812,0.015566,61.776,1,2692,0.000459,158.83,1,1948,0.000376,1.889,openai/gpt-oss-120b,openai/gpt-oss-120b,openai/gpt-oss-120b,openai/gpt-oss-120b
aide_scan_notification,Configure Notification of Post-AIDE Scan Details,2,localhost,aide_scan_notification,xccdf_org.ssgproject.content_rule_aide_scan_notification,compliance,localhost.localdomain,True,low,"The remediation only adds or updates a cron entry to pipe AIDE output to the local mail command. This is a straightforward file edit and optional package install, with no impact on authentication, networking, or critical services, and does not require a reboot.",False,filesystems affected,low,success,1,1,"rpm -q aide; echo '05 4 * * * root /usr/sbin/aide --check | /bin/mail -s ""$(hostname) - AIDE Integrity Check"" root@localhost' >> /etc/crontab",True,True,,53.037850856781006,30.191,,,,,,,,,,,,,True,False,8,"The plan correctly installs AIDE if missing and ensures a cron entry pipes the output to mail, which satisfies the requirement. It could be improved by also checking other cron locations (e.g., /etc/cron.d, /etc/cron.daily) and by handling the case where the mail package is not installed. Including a configurable email address instead of hard‑coding root@localhost would increase flexibility.","The sed expression may not match lines with unusual spacing or additional AIDE options, potentially leaving an existing AIDE cron entry without the mail pipe.; Only /etc/crontab is inspected; AIDE could be scheduled via other cron directories, which the plan would miss.",True,"The plan correctly ensures the AIDE package is present and adds a cron entry that pipes the scan output to mail, satisfying the requirement without modifying critical system services. The changes are limited to /etc/crontab and are unlikely to cause service outages or lockouts.","If the mail command or mail transport agent is not installed, the cron job will fail but not affect other services.; The sed pattern may miss atypical AIDE cron lines, potentially leaving an existing entry without notification.; Adding a daily AIDE check adds some CPU/IO load, but this is expected for integrity monitoring.",False,Approve,19.748050928115845,59.43624973297119,13,0,55.832,31887,4347,36234,0.007782,1,1400,0.000312,6.38,10,31010,0.006643,17.376,1,1946,0.000579,12.331,1,1878,0.000248,19.746,openai/gpt-oss-120b,openai/gpt-oss-120b,openai/gpt-oss-120b,openai/gpt-oss-120b
aide_use_fips_hashes,Configure AIDE to Use FIPS 140-2 for Validating Hashes,2,localhost,aide_use_fips_hashes,xccdf_org.ssgproject.content_rule_aide_use_fips_hashes,compliance,localhost.localdomain,True,low,"The remediation only edits /etc/aide.conf to ensure sha512 is present and removes disallowed hashes, and optionally installs the aide package. This is a straightforward file edit that does not affect authentication, networking, or boot processes, and does not require a reboot. The change follows standard STIG guidance and carries minimal risk of system lockout or service disruption.",False,Incorrect syntax in /etc/aide.conf could cause AIDE to fail on next run; Removal of a hash algorithm that might be referenced elsewhere in custom rules,low,success,2,2,dnf install -y aide; cp /etc/aide.conf /etc/aide.conf.bak; sed -i -E 's/(\+)?sha1(\+)?//g' /etc/aide.conf; sed -i -E 's/(\\+)?rmd160(\\+)?//g' /etc/aide.conf; sed -i -E 's/(\\+)?sha256(\\+)?//g' /etc/aide.conf; sed -i -E 's/(\\\\+)?whirlpool(\\\\+)?//g' /etc/aide.conf; sed -i -E 's/(\\\\+)?tiger(\\\\+)?//g' /etc/aide.conf; sed -i -E 's/(\\\\\\\\+)?haval(\\\\\\\\+)?//g' /etc/aide.conf; cp /etc/aide.conf.bak /etc/aide.conf; sed -i -E 's/(\+)?sha1(\+)?/+/g' /etc/aide.conf; sed -i -E '/^[A-Z][A-Z0-9_]*[[:space:]]*=/ { s/(\+)?(sha1|rmd160|sha256|whirlpool|tiger|haval|gost|crc32)(\+)?/+/g; s/\++/+/g; s/=\+/= /; s/\+$//; }' /etc/aide.conf,False,False,,66.7269868850708,20.907,"dnf install -y aide; cp /etc/aide.conf /etc/aide.conf.bak; awk 'BEGIN { split(""sha1 rmd160 sha256 whirlpool tiger haval gost crc32"", forb); for(i in forb) f[forb[i]]=1 } $0 ~ /^[A-Z][A-Z0-9_]*[[:space:]]*=/ { split($0, a, ""=""); grp=a[1]; gsub(/[[:space:]]*/, """", grp); val=a[2]; gsub(/[[:space:]]*/, """", val); n=split(val, toks, ""+""); delete keep; for(i=1;i<=n;i++) if(!(toks[i] in f)) keep[toks[i]]=1; keep[""sha512""]=1; out=grp"" =""; first=1; for(k in keep) { if(first){ out=out"" ""k; first=0 } else out=out""+""k } print out; next } { print }' /etc/aide.conf > /etc/aide.conf.tmp; mv /etc/aide.conf.tmp /etc/aide.conf; aide --check; nl -ba /etc/aide.conf | sed -n '50,80p'; grep -n ""++"" -R /etc/aide.conf; cp /etc/aide.conf /etc/aide.conf.bak2",True,True,,287.98183703422546,47.878,,,,,,,True,False,9,"The plan correctly backs up the configuration, removes all listed weak hash algorithms, ensures sha512 is present, and verifies the result with aide --check. It therefore satisfies the STIG requirement. Minor issues such as nondeterministic ordering of hash tokens and lack of handling for multiline rule definitions are noted but do not prevent remediation.","The awk loop ""for(k in keep)"" iterates in arbitrary order, resulting in nondeterministic ordering of hash tokens in the rebuilt rule lines.; All whitespace is stripped from the rule value, which may change the formatting of the file and could affect comments that rely on spacing.; The script does not account for multiline AIDE rule definitions that use backslashes for continuation.",True,"The plan only edits /etc/aide.conf to enforce sha512 and remove non‑FIPS hashes. AIDE is an integrity‑checking tool, not required for core services, so the change will not affect sshd, auditd, firewalld, or networking. The backup and verification steps mitigate risk of a malformed file. Minor cosmetic changes (whitespace loss, token order) are harmless, though multiline rule handling is not covered.","Whitespace and formatting of aide.conf will be normalized, which may affect readability.; Hash token order may become nondeterministic due to the unordered iteration in awk.; If the configuration contains multiline rule definitions using backslashes, they may be corrupted, causing aide to fail to parse the file.",False,Approve,20.23710799217224,287.9869236946106,18,0,255.381,131897,11808,143705,0.028435,0,0,0.0,0.0,16,138939,0.027802,47.834,1,2619,0.000445,187.314,1,2147,0.000188,20.235,openai/gpt-oss-120b,openai/gpt-oss-120b,openai/gpt-oss-120b,openai/gpt-oss-120b
enable_dracut_fips_module,Enable Dracut FIPS Module,3,localhost,enable_dracut_fips_module,xccdf_org.ssgproject.content_rule_enable_dracut_fips_module,compliance,localhost.localdomain,False,critical,"Enabling FIPS mode requires adding the dracut fips module and setting the kernel boot parameter fips=1, which involves bootloader/kernel changes. The policy states FIPS changes are classified as too dangerous to remediate on an existing system because they can cause system lockout or break critical services and are not supported on already installed systems.",False,reboot required; FIPS mode activation; bootloader modification; kernel parameter change; potential system lockout,high,discarded,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.128903865814209,1,0,11.109,697,593,1290,0.000183,1,1290,0.000183,11.109,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,openai/gpt-oss-120b,openai/gpt-oss-120b,openai/gpt-oss-120b,openai/gpt-oss-120b
enable_fips_mode,Enable FIPS Mode,3,localhost,enable_fips_mode,xccdf_org.ssgproject.content_rule_enable_fips_mode,compliance,localhost.localdomain,False,critical,"Enabling FIPS mode requires adding a kernel boot parameter (fips=1) and changing the system cryptographic policy. The documentation states that enabling FIPS on an already installed system is not supported and can render the system unbootable. This poses a high risk of system breakage and loss of access, matching the policy rule that FIPS changes are classified as too dangerous to remediate automatically.",False,reboot required; potential boot failure; system may become unbootable; cryptographic policy changes could affect services; possible loss of SSH/console access,high,discarded,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0602638721466064,1,0,2.046,821,594,1415,0.00048,1,1415,0.00048,2.046,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,openai/gpt-oss-120b,openai/gpt-oss-120b,openai/gpt-oss-120b,openai/gpt-oss-120b
fips_crypto_subpolicy,FIPS Must Use a Supported Subpolicy,2,localhost,fips_crypto_subpolicy,xccdf_org.ssgproject.content_rule_fips_crypto_subpolicy,compliance,localhost.localdomain,False,critical,"The finding requires changing the system's FIPS crypto subpolicy, which is a FIPS-related configuration. According to policy, FIPS changes are classified as too_dangerous_to_remediate because they can impact system-wide cryptographic behavior and may break critical services or authentication mechanisms.",False,authentication/authorization affected; networking affected; Potential disruption of services that rely on specific cryptographic algorithms; Possible loss of SSH or other network connectivity if incompatible ciphers are enforced; Compliance impact if an unsupported subpolicy is applied,medium,discarded,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.777460098266602,1,0,12.761,647,758,1405,0.000222,1,1405,0.000222,12.761,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,openai/gpt-oss-120b,openai/gpt-oss-120b,openai/gpt-oss-120b,openai/gpt-oss-120b
fips_custom_stig_sub_policy,Implement STIG Sub Crypto Policy,2,localhost,fips_custom_stig_sub_policy,xccdf_org.ssgproject.content_rule_fips_custom_stig_sub_policy,compliance,localhost.localdomain,False,critical,"The remediation changes the system-wide cryptographic policy to FIPS:STIG, which is a FIPS mode alteration. Such changes can break existing services, including SSH, and may cause system lockout or require extensive validation, matching the policy's criteria for 'too_dangerous_to_remediate' for FIPS changes.",False,authentication/authorization affected; Potential SSH cipher incompatibility leading to remote lockout; Breakage of services relying on non‑FIPS algorithms; Compliance impact if FIPS mode is not fully supported,low,discarded,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.86609196662903,1,0,104.855,655,661,1316,0.000294,1,1316,0.000294,104.855,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,openai/gpt-oss-120b,openai/gpt-oss-120b,openai/gpt-oss-120b,openai/gpt-oss-120b
sysctl_crypto_fips_enabled,Set kernel parameter 'crypto.fips_enabled' to 1,3,localhost,sysctl_crypto_fips_enabled,xccdf_org.ssgproject.content_rule_sysctl_crypto_fips_enabled,compliance,localhost.localdomain,False,critical,"Enabling FIPS mode requires adding the fips=1 boot parameter, which modifies the bootloader configuration and forces the kernel to operate in FIPS mode. This change is not supported on an already installed system and can render the system unbootable or break cryptographic operations, making remediation high risk.",False,reboot required; authentication/authorization affected; Potential system boot failure; Loss of cryptographic functionality; Possible lockout of authentication mechanisms; Incompatibility with existing software,high,discarded,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.28849792480469,1,0,39.277,740,748,1488,0.000374,1,1488,0.000374,39.277,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,openai/gpt-oss-120b,openai/gpt-oss-120b,openai/gpt-oss-120b,openai/gpt-oss-120b
