section,metric,value,category
overview,total_findings,59,
overview,total_remediated,20,
overview,total_failed,15,
overview,total_discarded,4,
overview,total_requires_human_review,20,
overview,success_rate_pct,33.9,
per_round,fixed_count,16,round_1
per_round,fixed_count,4,round_2
per_round,fixed_count,0,round_3
per_severity,total,49,severity_2
per_severity,remediated,19,severity_2
per_severity,failed,13,severity_2
per_severity,total,10,severity_3
per_severity,remediated,1,severity_3
per_severity,failed,2,severity_3
timing,total_elapsed_s,41972.58,
timing,avg_duration_per_finding_s,1554.54,
timing,min_duration_s,31.77,
timing,max_duration_s,4402.36,
timing,avg_triage_duration_s,0,
timing,avg_remedy_duration_s,0,
timing,avg_review_duration_s,0,
timing,avg_qa_duration_s,0,
cost,total_cost_usd,0.0,
cost,total_tokens,0,
cost,avg_cost_per_finding_usd,0.0,
cost,avg_tokens_per_finding,0,
models,model_name,Varcser-a:trinity-large-preview-free,triage
models,model_name,Varcser-a:trinity-large-preview-free,remedy
models,model_name,Varcser-a:trinity-large-preview-free,review
models,model_name,Varcser-a:trinity-large-preview-free,qa
stage_stats,triage_total,59,
stage_stats,triage_remediate,35,
stage_stats,triage_discard,24,
stage_stats,triage_human_review,20,
stage_stats,remedy_total,35,
stage_stats,remedy_passed_scan,20,
stage_stats,remedy_failed_scan,15,
stage_stats,remedy_avg_attempts,1.97,
stage_stats,review_total,0,
stage_stats,review_approved,0,
stage_stats,review_rejected,0,
stage_stats,review_avg_security_score,0,
stage_stats,qa_total,0,
stage_stats,qa_safe,0,
stage_stats,qa_unsafe,0,
stage_stats,qa_regressions,0,
