section,metric,value,category
overview,total_findings,62,
overview,total_remediated,31,
overview,total_failed,11,
overview,total_discarded,11,
overview,total_requires_human_review,9,
overview,success_rate_pct,50.0,
per_round,fixed_count,30,round_1
per_round,fixed_count,1,round_2
per_round,fixed_count,0,round_3
per_severity,total,52,severity_2
per_severity,remediated,29,severity_2
per_severity,failed,10,severity_2
per_severity,total,10,severity_3
per_severity,remediated,2,severity_3
per_severity,failed,1,severity_3
timing,total_elapsed_s,10724.08,
timing,avg_duration_per_finding_s,107.7,
timing,min_duration_s,0.01,
timing,max_duration_s,670.82,
timing,avg_triage_duration_s,11.3,
timing,avg_remedy_duration_s,82.75,
timing,avg_review_duration_s,32.69,
timing,avg_qa_duration_s,22.67,
cost,total_cost_usd,0.1487,
cost,total_tokens,1823969,
cost,avg_cost_per_finding_usd,0.0024,
cost,avg_tokens_per_finding,29419,
models,model_name,unknown,triage
models,model_name,openai/gpt-oss-120b,remedy
models,model_name,openai/gpt-oss-120b,review
models,model_name,openai/gpt-oss-120b,qa
stage_stats,triage_total,62,
stage_stats,triage_remediate,42,
stage_stats,triage_discard,20,
stage_stats,triage_human_review,9,
stage_stats,remedy_total,42,
stage_stats,remedy_passed_scan,31,
stage_stats,remedy_failed_scan,11,
stage_stats,remedy_avg_attempts,1.55,
stage_stats,review_total,41,
stage_stats,review_approved,37,
stage_stats,review_rejected,4,
stage_stats,review_avg_security_score,7.94,
stage_stats,qa_total,37,
stage_stats,qa_safe,29,
stage_stats,qa_unsafe,8,
stage_stats,qa_regressions,0,
