section,metric,value,category
overview,total_findings,62,
overview,total_remediated,24,
overview,total_failed,24,
overview,total_discarded,6,
overview,total_requires_human_review,8,
overview,success_rate_pct,38.7,
per_round,fixed_count,20,round_1
per_round,fixed_count,4,round_2
per_round,fixed_count,0,round_3
per_severity,total,52,severity_2
per_severity,remediated,22,severity_2
per_severity,failed,22,severity_2
per_severity,total,10,severity_3
per_severity,remediated,2,severity_3
per_severity,failed,2,severity_3
timing,total_elapsed_s,8412.94,
timing,avg_duration_per_finding_s,78.62,
timing,min_duration_s,0.01,
timing,max_duration_s,387.65,
timing,avg_triage_duration_s,6.16,
timing,avg_remedy_duration_s,68.6,
timing,avg_review_duration_s,8.44,
timing,avg_qa_duration_s,16.39,
cost,total_cost_usd,0.1082,
cost,total_tokens,1565992,
cost,avg_cost_per_finding_usd,0.0017,
cost,avg_tokens_per_finding,25258,
models,model_name,unknown,triage
models,model_name,openai/gpt-oss-20b,remedy
models,model_name,openai/gpt-oss-20b,review
models,model_name,openai/gpt-oss-20b,qa
stage_stats,triage_total,62,
stage_stats,triage_remediate,48,
stage_stats,triage_discard,14,
stage_stats,triage_human_review,8,
stage_stats,remedy_total,48,
stage_stats,remedy_passed_scan,24,
stage_stats,remedy_failed_scan,24,
stage_stats,remedy_avg_attempts,1.42,
stage_stats,review_total,48,
stage_stats,review_approved,35,
stage_stats,review_rejected,13,
stage_stats,review_avg_security_score,7.5,
stage_stats,qa_total,35,
stage_stats,qa_safe,29,
stage_stats,qa_unsafe,6,
stage_stats,qa_regressions,0,
